ST_NAME,Column,Field,Value
Tamil Nadu,AC_NAME,ALANGUDI,ALANGUDI
Tamil Nadu,AC_NAME,ALANGUDY,ALANGUDI
Tamil Nadu,AC_NAME,ANAICUT,ANAICUT
Tamil Nadu,AC_NAME,ANAIKATTU,ANAICUT
Tamil Nadu,AC_NAME,ANDHIYUR,ANDHIYUR
Tamil Nadu,AC_NAME,ANTHIYUR,ANDHIYUR
Tamil Nadu,AC_NAME,ARAKKONAM,ARAKKONAM
Tamil Nadu,AC_NAME,ARANI,ARANI
Tamil Nadu,AC_NAME,ARANTANGI,ARANTHANGI
Tamil Nadu,AC_NAME,ARANTHANGI,ARANTHANGI
Tamil Nadu,AC_NAME,ARIYAIUR,ARIYALUR
Tamil Nadu,AC_NAME,ARIYALUR,ARIYALUR
Tamil Nadu,AC_NAME,ARKONAM,ARAKKONAM
Tamil Nadu,AC_NAME,ARNI,ARANI
Tamil Nadu,AC_NAME,ARUPPUKKOTTAI,ARUPPUKKOTTAI
Tamil Nadu,AC_NAME,ARUPPUKOTTAI,ARUPPUKKOTTAI
Tamil Nadu,AC_NAME,BODINAYAKANUR,BODINAYAKKANUR
Tamil Nadu,AC_NAME,BODINAYAKKANUR,BODINAYAKKANUR
Tamil Nadu,AC_NAME,CHENGALPATTU,CHENGALPATTU
Tamil Nadu,AC_NAME,CHEPAUK,CHEPAUK
Tamil Nadu,AC_NAME,CHEPAUK-THIRUVALLIKENI,CHEPAUK
Tamil Nadu,AC_NAME,CHINGLEPUT,CHENGALPATTU
Tamil Nadu,AC_NAME,CHINNASALEM,KALLAKURICHI
Tamil Nadu,AC_NAME,COIMBATORE (NORTH),COIMBATORE NORTH
Tamil Nadu,AC_NAME,COIMBATORE (SOUTH),COIMBATORE SOUTH
Tamil Nadu,AC_NAME,COIMBATORE EAST,COIMBATORE SOUTH
Tamil Nadu,AC_NAME,COIMBATORE WEST,COIMBATORE NORTH
Tamil Nadu,AC_NAME,COLACHAL,KOLLACHAL
Tamil Nadu,AC_NAME,COLACHEL,KOLLACHAL
Tamil Nadu,AC_NAME,DHARAMAPURI,DHARMAPURI
Tamil Nadu,AC_NAME,DHARMAPURI,DHARMAPURI
Tamil Nadu,AC_NAME,DR. RADHAKRISHNAN NAGAR,DR. RADHAKRISHNAN NAGAR
Tamil Nadu,AC_NAME,DR.RADHAKRISHNAN NAGAR,DR. RADHAKRISHNAN NAGAR
Tamil Nadu,AC_NAME,EDAPADI,EDAPPADI
Tamil Nadu,AC_NAME,EDAPPADI,EDAPPADI
Tamil Nadu,AC_NAME,GANDARVAKOTTAI,GANDHARVAKOTTAI
Tamil Nadu,AC_NAME,GANDHARVAKOTTAI,GANDHARVAKOTTAI
Tamil Nadu,AC_NAME,GANGAIKODAN,GANGAIKONDAN
Tamil Nadu,AC_NAME,GANGAIKONDAN,GANGAIKONDAN
Tamil Nadu,AC_NAME,GUDIYATHAM,GUDIYATTAM
Tamil Nadu,AC_NAME,GUDIYATTAM,GUDIYATTAM
Tamil Nadu,AC_NAME,GUMMIDIPOONDI,GUMMIDIPOONDI
Tamil Nadu,AC_NAME,GUMMIDIPUNDI,GUMMIDIPOONDI
Tamil Nadu,AC_NAME,KALASAPAKKAM,KALASAPAKKAM
Tamil Nadu,AC_NAME,KALASPAKKAM,KALASAPAKKAM
Tamil Nadu,AC_NAME,KALLAKURICHI,KALLAKURICHI
Tamil Nadu,AC_NAME,KANDAMAGALAM,KANDAMANGALAM
Tamil Nadu,AC_NAME,KANDAMANGALAM,KANDAMANGALAM
Tamil Nadu,AC_NAME,KANNIYAKUMARI,KANNIYAKUMARI
Tamil Nadu,AC_NAME,KANYAKUMARI,KANNIYAKUMARI
Tamil Nadu,AC_NAME,KANYAKURMARI,KANNIYAKUMARI
Tamil Nadu,AC_NAME,KARAIKUDI,KARAIKUDI
Tamil Nadu,AC_NAME,KARAIKUDY,KARAIKUDI
Tamil Nadu,AC_NAME,KAVERIPATNAM,KAVERIPATTINAM
Tamil Nadu,AC_NAME,KAVERIPATTINAM,KAVERIPATTINAM
Tamil Nadu,AC_NAME,KINATHUKADAVU,KINATHUKKADAVU
Tamil Nadu,AC_NAME,KINATHUKKADAVU,KINATHUKKADAVU
Tamil Nadu,AC_NAME,KOILPATTI,KOVILPATTI
Tamil Nadu,AC_NAME,KOVILPATTI,KOVILPATTI
Tamil Nadu,AC_NAME,KRISHNARAJAPURAM,KRISHNARAJAPURAM
Tamil Nadu,AC_NAME,KRISHNARAYAPURAM,KRISHNARAJAPURAM
Tamil Nadu,AC_NAME,KULITALAI,KULITHALAI
Tamil Nadu,AC_NAME,KULITHALAI,KULITHALAI
Tamil Nadu,AC_NAME,KULITTALAI,KULITHALAI
Tamil Nadu,AC_NAME,LUNDURPET,ULUNDURPET
Tamil Nadu,AC_NAME,MADURANTAKAM,MADURANTHAKAM
Tamil Nadu,AC_NAME,MADURANTHAKAM,MADURANTHAKAM
Tamil Nadu,AC_NAME,MANGALORE,MANGALUR
Tamil Nadu,AC_NAME,MANGALUR,MANGALUR
Tamil Nadu,AC_NAME,MAYILADUTHURAI,MAYURAM
Tamil Nadu,AC_NAME,MAYURAM,MAYURAM
Tamil Nadu,AC_NAME,METTUPALAYAM,METTUPPALAYAM
Tamil Nadu,AC_NAME,METTUPPALAYAM,METTUPPALAYAM
Tamil Nadu,AC_NAME,MODAKKURICHI,MODAKKURICHI
Tamil Nadu,AC_NAME,MODAKURICHI,MODAKKURICHI
Tamil Nadu,AC_NAME,MUDHUKULATHUR,MUDHUKULATHUR
Tamil Nadu,AC_NAME,MUDUKULATHUR,MUDHUKULATHUR
Tamil Nadu,AC_NAME,NILAKKOTTAI,NILAKKOTTAI
Tamil Nadu,AC_NAME,NILAKOTTAI,NILAKKOTTAI
Tamil Nadu,AC_NAME,ODDAMCHATRAM,ODDAMCHATRAM
Tamil Nadu,AC_NAME,ODDANCHATRAM,ODDAMCHATRAM
Tamil Nadu,AC_NAME,OOTACAMUND,UDHAGAMANDALAM
Tamil Nadu,AC_NAME,ORATHANAD,ORATHANADU
Tamil Nadu,AC_NAME,ORATHANADU,ORATHANADU
Tamil Nadu,AC_NAME,OTTAPIDARAM,OTTAPIDARAM
Tamil Nadu,AC_NAME,PALACODE,PALACODU
